,Code,Name
437,OFSYM.IS,OFİS YEM GIDA SANAYİ TİCARET A.Ş.
438,ONCSM.IS,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.
439,OPET.IS,OPET PETROLCÜLÜK A.Ş.
440,ORCAY.IS,ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.
441,ORFIN.IS,ORFİN FİNANSMAN A.Ş.
442,ORGE.IS,ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.
443,ORMA.IS,ORMA ORMAN MAHSULLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.
444,"OMD, OSMEN.IS",OSMANLI YATIRIM MENKUL DEĞERLER A.Ş.
445,OSTIM.IS,OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.
446,OTKAR.IS,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.
447,OTOKC.IS,OTOKOÇ OTOMOTİV TİCARET VE SANAYİ A.Ş.
448,OTOSR.IS,OTOSOR OTOMOTİV A.Ş.
449,OTTO.IS,OTTO HOLDİNG A.Ş.
450,OYAKC.IS,OYAK ÇİMENTO FABRİKALARI A.Ş.
451,"OYA, OYYAT.IS",OYAK YATIRIM MENKUL DEĞERLER A.Ş.
452,OYAYO.IS,OYAK YATIRIM ORTAKLIĞI A.Ş.
453,OYLUM.IS,OYLUM SINAİ YATIRIMLAR A.Ş.
454,OZKGY.IS,ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
455,OZGYO.IS,ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
456,OZRDN.IS,ÖZERDEN AMBALAJ SANAYİ A.Ş.
457,OZSUB.IS,ÖZSU BALIK ÜRETİM A.Ş.
458,PALEN.IS,PALEN ENERJİ DOĞALGAZ DAĞITIM ENDÜSTRİ VE TİCARET A.Ş.
459,PAMEL.IS,PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.
460,PNLSN.IS,PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
461,PAGYO.IS,PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
462,PAPIL.IS,PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.
463,PRDGS.IS,PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
464,PRKME.IS,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.
465,PARSN.IS,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.
466,"PBT, PBTR.IS",PASHA YATIRIM BANKASI A.Ş.
467,PASEU.IS,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.
468,PSGYO.IS,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
469,PCILT.IS,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.
470,PGSUS.IS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.
471,PEKGY.IS,PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
472,PENGD.IS,PENGUEN GIDA SANAYİ A.Ş.
473,PENTA.IS,PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.
474,PEGYO.IS,PERA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
475,PSDTC.IS,PERGAMON STATUS DIŞ TİCARET A.Ş.
476,PETKM.IS,PETKİM PETROKİMYA HOLDİNG A.Ş.
477,PKENT.IS,PETROKENT TURİZM A.Ş.
478,"PHC, PHLLP.IS",PHİLLİPCAPİTAL MENKUL DEĞERLER A.Ş.
479,PETUN.IS,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.
480,PINSU.IS,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.
481,PNSUT.IS,PINAR SÜT MAMULLERİ SANAYİİ A.Ş.
482,PKART.IS,PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
483,PLTUR.IS,PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.
484,POLHO.IS,POLİSAN HOLDİNG A.Ş.
485,POLTK.IS,POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.
486,PRZMA.IS,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.
487,QYHOL.IS,Q YATIRIM HOLDİNG A.Ş.
488,QNBFF.IS,QNB FİNANS FAKTORİNG A.Ş.
489,QNBFL.IS,QNB FİNANS FİNANSAL KİRALAMA A.Ş.
490,QNBVK.IS,QNB FİNANS VARLIK KİRALAMA A.Ş.
491,"FNY, QNBFI.IS",QNB FİNANS YATIRIM MENKUL DEĞERLER A.Ş.
492,"FIN, QNBFB.IS",QNB FİNANSBANK A.Ş.
493,QUAGR.IS,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.
494,QUFIN.IS,QUICK FİNANSMAN A.Ş.
495,RNPOL.IS,RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.
496,RALYH.IS,RAL YATIRIM HOLDİNG A.Ş.
497,RAYSG.IS,RAY SİGORTA A.Ş.
498,REEDR.IS,REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.
499,RYGYO.IS,REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
500,RYSAS.IS,REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.
501,RODRG.IS,RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.
502,ROYAL.IS,ROYAL HALI İPLİK TEKSTİL MOBİLYA SANAYİ VE TİCARET A.Ş.
503,RTALB.IS,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.
504,RUBNS.IS,RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.
505,SAFKR.IS,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.
506,SANEL.IS,SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.
507,SNICA.IS,SANİCA ISI SANAYİ A.Ş.
508,SANFM.IS,SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.
509,SANKO.IS,SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.
510,SAMAT.IS,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.
511,SARKY.IS,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.
512,SARTN.IS,SARTEN AMBALAJ SANAYİ VE TİCARET A.Ş.
513,SASA.IS,SASA POLYESTER SANAYİ A.Ş.
514,SAYAS.IS,SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.
515,SDTTR.IS,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.
516,SEKUR.IS,SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.
517,SELEC.IS,SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.
518,SELGD.IS,SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.
519,SELVA.IS,SELVA GIDA SANAYİ A.Ş.
520,SNKRN.IS,SENKRON SİBER GÜVENLİK YAZILIM VE BİLİŞİM ÇÖZÜMLERİ A.Ş.
521,SRVGY.IS,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
522,KHSTR.IS,SETUR SERVİS TURİSTİK A.Ş.
523,SEYKM.IS,SEYİTLER KİMYA SANAYİ A.Ş.
524,SHTRP.IS,SHELL & TURCAS PETROL A.Ş.
525,SILVR.IS,SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.
526,SNGYO.IS,SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
527,SMRTG.IS,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.
528,SMART.IS,SMARTİKS YAZILIM A.Ş.
529,SODSN.IS,SODAŞ SODYUM SANAYİİ A.Ş.
530,SOKE.IS,SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.
531,SKTAS.IS,SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
532,SONME.IS,SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.
533,SNPAM.IS,SÖNMEZ PAMUKLU SANAYİİ A.Ş.
534,SUMAS.IS,SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİ A.Ş.
535,SUNTK.IS,SUN TEKSTİL SANAYİ VE TİCARET A.Ş.
536,SURGY.IS,SUR TATİL EVLERİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
537,SUWEN.IS,SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.
538,SZUKI.IS,SUZUKİ MOTORLU ARAÇLAR PAZARLAMA A.Ş.
539,SMRFA.IS,SÜMER FAKTORİNG A.Ş.
540,SMRVA.IS,SÜMER VARLIK YÖNETİM A.Ş.
541,SEKFK.IS,ŞEKER FİNANSAL KİRALAMA A.Ş.
542,SEGYO.IS,ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
543,"SKY, SKYMD.IS",ŞEKER YATIRIM MENKUL DEĞERLER A.Ş.
544,"SEK, SKBNK.IS",ŞEKERBANK T.A.Ş.
545,SOKM.IS,ŞOK MARKETLER TİCARET A.Ş.
546,DRPHN.IS,T.C. HAZİNE VE MALİYE BAKANLIĞI DARPHANE VE DAMGA MATBAASI GENEL MÜDÜRLÜĞÜ
547,TOKI.IS,T.C. TOPLU KONUT İDARESİ BAŞKANLIĞI
548,"TCZ, TCZB.IS",T.C. ZİRAAT BANKASI A.Ş.
549,TABGD.IS,TAB GIDA SANAYİ VE TİCARET A.Ş.
550,"TAC, TCRYT.IS",TACİRLER YATIRIM MENKUL DEĞERLER A.Ş.
551,TAMFA.IS,TAM FİNANS FAKTORİNG A.Ş.
552,TNZTP.IS,TAPDİ OKSİJEN ÖZEL SAĞLIK VE EĞİTİM HİZMETLERİ SANAYİ TİCARET A.Ş.
553,TARKM.IS,TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.
554,TATGD.IS,TAT GIDA SANAYİ A.Ş.
555,TATEN.IS,TATLIPINAR ENERJİ ÜRETİM A.Ş.
556,TAVHL.IS,TAV HAVALİMANLARI HOLDİNG A.Ş.
557,TEBFA.IS,TEB FAKTORİNG A.Ş.
558,TEBCE.IS,TEB FİNANSMAN A.Ş.
559,TEKTU.IS,TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.
560,TKFEN.IS,TEKFEN HOLDİNG A.Ş.
561,TKNSA.IS,TEKNOSA İÇ VE DIŞ TİCARET A.Ş.
562,TMPOL.IS,TEMAPOL POLİMER PLASTİK VE İNŞAAT SANAYİ TİCARET A.Ş.
563,"TERA, TRA.IS",TERA YATIRIM MENKUL DEĞERLER A.Ş.
564,TETMT.IS,TETAMAT GIDA YATIRIMLARI A.Ş.
565,TFNVK.IS,TF VARLIK KİRALAMA A.Ş.
566,TGSAS.IS,TGS DIŞ TİCARET A.Ş.
567,TRYKI.IS,TİRYAKİ AGRO GIDA SANAYİ VE TİCARET A.Ş.
568,TOASO.IS,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.
569,TMOAS.IS,TOPRAK MAHSULLERİ OFİSİ A.Ş.
570,TRGYO.IS,TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
571,TLMAN.IS,TRABZON LİMAN İŞLETMECİLİĞİ A.Ş.
572,TSPOR.IS,TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET A.Ş.
573,TDGYO.IS,TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
574,"TRMEN, TVM.IS",TRIVE YATIRIM MENKUL DEĞERLER A.Ş.
575,TSGYO.IS,TSKB GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
576,TUCLK.IS,TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.
577,TUKAS.IS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.
578,TRCAS.IS,TURCAS PETROL A.Ş.
579,TUREX.IS,TUREKS TURİZM TAŞIMACILIK A.Ş.
580,MARBL.IS,TUREKS TURUNÇ MADENCİLİK İÇ VE DIŞ TİCARET A.Ş.
581,TRKFN.IS,TURK FİNANSMAN A.Ş.
582,TRILC.IS,TURK İLAÇ VE SERUM SANAYİ A.Ş.
583,FNCLL.IS,TURKCELL FİNANSMAN A.Ş.
584,TCELL.IS,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.
585,"TBA, TRKSH.IS",TURKISH BANK A.Ş.
586,TMSN.IS,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.
587,TUPRS.IS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.
588,THYAO.IS,TÜRK HAVA YOLLARI A.O.
589,PRKAB.IS,TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.
590,TTKOM.IS,TÜRK TELEKOMÜNİKASYON A.Ş.
591,TTRAK.IS,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.
592,TBORG.IS,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.
593,TURGG.IS,TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.
594,"GARAN, TGB.IS",TÜRKİYE GARANTİ BANKASI A.Ş.
595,"HALKB, THL.IS",TÜRKİYE HALK BANKASI A.Ş.
596,"EXIMB, THR.IS",TÜRKİYE İHRACAT KREDİ BANKASI A.Ş.
597,"ISATR, ISBTR, ISCTR, ISKUR, TIB.IS",TÜRKİYE İŞ BANKASI A.Ş.
598,"KLN, KLNMA.IS",TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş.
599,"TSK, TSKB.IS",TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.
600,TURSG.IS,TÜRKİYE SİGORTA A.Ş.
601,SISE.IS,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.
602,"TVB, VAKBN.IS",TÜRKİYE VAKIFLAR BANKASI T.A.O.
603,UFUK.IS,UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.
604,ULAS.IS,ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.
605,ULUFA.IS,ULUSAL FAKTORİNG A.Ş.
606,ULUSE.IS,ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.
607,ULUUN.IS,ULUSOY UN SANAYİ VE TİCARET A.Ş.
608,UMPAS.IS,UMPAŞ HOLDİNG A.Ş.
609,USAK.IS,UŞAK SERAMİK SANAYİ A.Ş.
610,UZERB.IS,UZERTAŞ BOYA SANAYİ TİCARET VE YATIRIM A.Ş.
611,ULKER.IS,ÜLKER BİSKÜVİ SANAYİ A.Ş.
612,"UNLUS, UNS.IS",ÜNLÜ MENKUL DEĞERLER A.Ş.
613,UNLU.IS,ÜNLÜ YATIRIM HOLDİNG A.Ş.
614,VAKFA.IS,VAKIF FAKTORİNG A.Ş.
615,VAKFN.IS,VAKIF FİNANSAL KİRALAMA A.Ş.
616,VKGYO.IS,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
617,VKFYO.IS,VAKIF MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.
618,VAKVK.IS,VAKIF VARLIK KİRALAMA A.Ş.
619,VAKKO.IS,VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.
620,VANGD.IS,VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.
621,VBTYZ.IS,VBT YAZILIM A.Ş.
622,VDFLO.IS,VDF FİLO KİRALAMA A.Ş.
623,VRGYO.IS,VERA KONSEPT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
624,VERUS.IS,VERUSA HOLDİNG A.Ş.
625,VERTU.IS,VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
626,VESBE.IS,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.
627,VESTL.IS,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
628,VKING.IS,VİKİNG KAĞIT VE SELÜLOZ A.Ş.
629,VDFAS.IS,VOLKSWAGEN DOĞUŞ FİNANSMAN A.Ş.
630,YKFKT.IS,YAPI KREDİ FAKTORİNG A.Ş.
631,"YKR, YKYAT.IS",YAPI KREDİ YATIRIM MENKUL DEĞERLER A.Ş.
632,"YKB, YKBNK.IS",YAPI VE KREDİ BANKASI A.Ş.
633,YAPRK.IS,YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.
634,YATAS.IS,YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.
635,"YAT, YFMEN.IS",YATIRIM FİNANSMAN MENKUL DEĞERLER A.Ş.
636,YATVK.IS,YATIRIM VARLIK KİRALAMA A.Ş.
637,YYLGD.IS,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.
638,YAYLA.IS,YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.
639,YGGYO.IS,YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
640,YEOTK.IS,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.
641,YGYO.IS,YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
642,YYAPI.IS,YEŞİL YAPI ENDÜSTRİSİ A.Ş.
643,YESIL.IS,YEŞİL YATIRIM HOLDİNG A.Ş.
644,YBTAS.IS,YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.
645,YONGA.IS,YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.
646,YKSLN.IS,YÜKSELEN ÇELİK A.Ş.
647,YUNSA.IS,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.
648,ZEDUR.IS,ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.
649,ZRGYO.IS,ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
650,ZKBVK.IS,ZİRAAT KATILIM VARLIK KİRALAMA A.Ş.
651,ZKBVR.IS,ZKB VARLIK KİRALAMA A.Ş.
652,ZOREN.IS,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.
653,ZORLF.IS,ZORLU FAKTORİNG A.Ş.
