Symbol,Name
KLSER.IS,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.
KAPLM.IS,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.
KRDMA.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KRDMB.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KRDMD.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KAREL.IS,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
KARSN.IS,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.
KRTEK.IS,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.
KARYE.IS,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
KARTN.IS,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.
KTLEV.IS,KATILIMEVİM TASARRUF FİNANSMAN A.Ş.
KATMR.IS,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.
KAYSE.IS,KAYSERİ ŞEKER FABRİKASI A.Ş.
KENT.IS,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.
KERVT.IS,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.
KRVGD.IS,KERVAN GIDA SANAYİ VE TİCARET A.Ş.
KERVN.IS,KERVANSARAY YATIRIM HOLDİNG A.Ş.
KZBGY.IS,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KLGYO.IS,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KLRHO.IS,KİLER HOLDİNG A.Ş.
KMPUR.IS,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.
KLMSN.IS,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.
KCAER.IS,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.
KCHOL.IS,KOÇ HOLDİNG A.Ş.
KLSYN.IS,KOLEKSİYON MOBİLYA SANAYİ A.Ş.
KNFRT.IS,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.
KONTR.IS,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.
KONYA.IS,KONYA ÇİMENTO SANAYİİ A.Ş.
KONKA.IS,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.
KGYO.IS,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KORDS.IS,KORDSA TEKNİK TEKSTİL A.Ş.
KRPLS.IS,KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.
KOZAL.IS,KOZA ALTIN İŞLETMELERİ A.Ş.
KOZAA.IS,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.
KOPOL.IS,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.
KRGYO.IS,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KRSTL.IS,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.
KRONT.IS,KRON TEKNOLOJİ A.Ş.
KSTUR.IS,KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.
KUVVA.IS,KUVVA GIDA TİCARET VE SANAYİ YATIRIMLARI A.Ş.
KUYAS.IS,KUYAŞ YATIRIM A.Ş.
KBORU.IS,KUZEY BORU A.Ş.
KZGYO.IS,KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KUTPO.IS,KÜTAHYA PORSELEN SANAYİ A.Ş.
KTSKR.IS,KÜTAHYA ŞEKER FABRİKASI A.Ş.
LIDER.IS,LDR TURİZM A.Ş.
LIDFA.IS,LİDER FAKTORİNG A.Ş.
LINK.IS,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.
LOGO.IS,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.
LKMNH.IS,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.
LRSHO.IS,LORAS HOLDİNG A.Ş.
LUKSK.IS,LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.
MACKO.IS,MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.
MAKIM.IS,MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.
MAKTK.IS,MAKİNA TAKIM ENDÜSTRİSİ A.Ş.
MANAS.IS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.
MAGEN.IS,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.
MARKA.IS,MARKA YATIRIM HOLDİNG A.Ş.
MAALT.IS,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.
MRSHL.IS,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.
MRGYO.IS,MARTI GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
MARTI.IS,MARTI OTEL İŞLETMELERİ A.Ş.
MTRKS.IS,MATRİKS BİLGİ DAĞITIM HİZMETLERİ A.Ş.
MAVI.IS,MAVİ GİYİM SANAYİ VE TİCARET A.Ş.
MZHLD.IS,MAZHAR ZORLU HOLDİNG A.Ş.
MEDTR.IS,MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET A.Ş.
MEGMT.IS,MEGA METAL SANAYİ VE TİCARET A.Ş.
MEGAP.IS,MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.
MEKAG.IS,MEKA BETON SANTRALLERİ İMALAT SANAYİ VE TİCARET A.Ş.
MNDRS.IS,MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.
MEPET.IS,MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.
MERCN.IS,MERCAN KİMYA SANAYİ VE TİCARET A.Ş.
MERIT.IS,MERİT TURİZM YATIRIM VE İŞLETME A.Ş.
MERKO.IS,MERKO GIDA SANAYİ VE TİCARET A.Ş.
METUR.IS,METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.
METRO.IS,METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.
MTRYO.IS,METRO YATIRIM ORTAKLIĞI A.Ş.
MHRGY.IS,MHR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
MIATK.IS,MİA TEKNOLOJİ A.Ş.
MGROS.IS,MİGROS TİCARET A.Ş.
MIPAZ.IS,MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.
MSGYO.IS,MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
MPARK.IS,MLP SAĞLIK HİZMETLERİ A.Ş.
MMCAS.IS,MMC SANAYİ VE TİCARİ YATIRIMLAR A.Ş.
MOBTL.IS,MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.
MNDTR.IS,MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.
EGEPO.IS,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.
NATEN.IS,NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.
NTGAZ.IS,NATURELGAZ SANAYİ VE TİCARET A.Ş.
NTHOL.IS,NET HOLDİNG A.Ş.
NETAS.IS,NETAŞ TELEKOMÜNİKASYON A.Ş.
NIBAS.IS,NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.
NUHCM.IS,NUH ÇİMENTO SANAYİ A.Ş.
NUGYO.IS,NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
OBASE.IS,OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.
ODAS.IS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.
OFSYM.IS,OFİS YEM GIDA SANAYİ TİCARET A.Ş.
ONCSM.IS,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.
ORCAY.IS,ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.
ORGE.IS,ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.
ORMA.IS,ORMA ORMAN MAHSULLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.
OSMEN.IS,OSMANLI YATIRIM MENKUL DEĞERLER A.Ş.
OSTIM.IS,OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.
OTKAR.IS,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.
OTTO.IS,OTTO HOLDİNG A.Ş.
OYAKC.IS,OYAK ÇİMENTO FABRİKALARI A.Ş.
OYYAT.IS,OYAK YATIRIM MENKUL DEĞERLER A.Ş.
OYAYO.IS,OYAK YATIRIM ORTAKLIĞI A.Ş.
OYLUM.IS,OYLUM SINAİ YATIRIMLAR A.Ş.
OZKGY.IS,ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
OZGYO.IS,ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
OZRDN.IS,ÖZERDEN AMBALAJ SANAYİ A.Ş.
OZSUB.IS,ÖZSU BALIK ÜRETİM A.Ş.
PAMEL.IS,PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.
PNLSN.IS,PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
PAGYO.IS,PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
PAPIL.IS,PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.
PRDGS.IS,PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
PRKME.IS,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.
PARSN.IS,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.
PASEU.IS,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.
PSGYO.IS,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
PCILT.IS,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.
PGSUS.IS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.
PEKGY.IS,PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
PENGD.IS,PENGUEN GIDA SANAYİ A.Ş.
PENTA.IS,PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.
PEGYO.IS,PERA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
PSDTC.IS,PERGAMON STATUS DIŞ TİCARET A.Ş.
PETKM.IS,PETKİM PETROKİMYA HOLDİNG A.Ş.
PKENT.IS,PETROKENT TURİZM A.Ş.
PETUN.IS,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.
PINSU.IS,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.
PNSUT.IS,PINAR SÜT MAMULLERİ SANAYİİ A.Ş.
PKART.IS,PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
PLTUR.IS,PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.
POLHO.IS,POLİSAN HOLDİNG A.Ş.
POLTK.IS,POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.
PRZMA.IS,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.
QNBFL.IS,QNB FİNANS FİNANSAL KİRALAMA A.Ş.
QNBFB.IS,QNB FİNANSBANK A.Ş.
QUAGR.IS,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.
RNPOL.IS,RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.
RALYH.IS,RAL YATIRIM HOLDİNG A.Ş.
RAYSG.IS,RAY SİGORTA A.Ş.
REEDR.IS,REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.
RYGYO.IS,REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
RYSAS.IS,REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.
RODRG.IS,RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.
ROYAL.IS,ROYAL HALI İPLİK TEKSTİL MOBİLYA SANAYİ VE TİCARET A.Ş.
RTALB.IS,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.
RUBNS.IS,RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.
SAFKR.IS,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.
SANEL.IS,SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.
SNICA.IS,SANİCA ISI SANAYİ A.Ş.
SANFM.IS,SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.
SANKO.IS,SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.
SAMAT.IS,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.
SARKY.IS,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.
SASA.IS,SASA POLYESTER SANAYİ A.Ş.
SAYAS.IS,SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.
SDTTR.IS,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.
SEKUR.IS,SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.
SELEC.IS,SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.
SELGD.IS,SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.
SELVA.IS,SELVA GIDA SANAYİ A.Ş.
SNKRN.IS,SENKRON SİBER GÜVENLİK YAZILIM VE BİLİŞİM ÇÖZÜMLERİ A.Ş.
SRVGY.IS,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SEYKM.IS,SEYİTLER KİMYA SANAYİ A.Ş.
SILVR.IS,SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.
SNGYO.IS,SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SMRTG.IS,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.
SMART.IS,SMARTİKS YAZILIM A.Ş.
SODSN.IS,SODAŞ SODYUM SANAYİİ A.Ş.
SOKE.IS,SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.
SKTAS.IS,SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
SONME.IS,SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.
SNPAM.IS,SÖNMEZ PAMUKLU SANAYİİ A.Ş.
SUMAS.IS,SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİ A.Ş.
SUNTK.IS,SUN TEKSTİL SANAYİ VE TİCARET A.Ş.
SURGY.IS,SUR TATİL EVLERİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SUWEN.IS,SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.
SEKFK.IS,ŞEKER FİNANSAL KİRALAMA A.Ş.
SEGYO.IS,ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SKYMD.IS,ŞEKER YATIRIM MENKUL DEĞERLER A.Ş.
SKBNK.IS,ŞEKERBANK T.A.Ş.
SOKM.IS,ŞOK MARKETLER TİCARET A.Ş.
TABGD.IS,TAB GIDA SANAYİ VE TİCARET A.Ş.
TNZTP.IS,TAPDİ OKSİJEN ÖZEL SAĞLIK VE EĞİTİM HİZMETLERİ SANAYİ TİCARET A.Ş.
TARKM.IS,TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.
TATGD.IS,TAT GIDA SANAYİ A.Ş.
TATEN.IS,TATLIPINAR ENERJİ ÜRETİM A.Ş.
TAVHL.IS,TAV HAVALİMANLARI HOLDİNG A.Ş.
TEKTU.IS,TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.
TKFEN.IS,TEKFEN HOLDİNG A.Ş.
TKNSA.IS,TEKNOSA İÇ VE DIŞ TİCARET A.Ş.
TMPOL.IS,TEMAPOL POLİMER PLASTİK VE İNŞAAT SANAYİ TİCARET A.Ş.
TERA.IS,TERA YATIRIM MENKUL DEĞERLER A.Ş.
TETMT.IS,TETAMAT GIDA YATIRIMLARI A.Ş.
TGSAS.IS,TGS DIŞ TİCARET A.Ş.
TOASO.IS,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.
TRGYO.IS,TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
TLMAN.IS,TRABZON LİMAN İŞLETMECİLİĞİ A.Ş.
TSPOR.IS,TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET A.Ş.
TDGYO.IS,TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
TSGYO.IS,TSKB GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
TUCLK.IS,TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.
TUKAS.IS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.
TRCAS.IS,TURCAS PETROL A.Ş.
TUREX.IS,TUREKS TURİZM TAŞIMACILIK A.Ş.
MARBL.IS,TUREKS TURUNÇ MADENCİLİK İÇ VE DIŞ TİCARET A.Ş.
TRILC.IS,TURK İLAÇ VE SERUM SANAYİ A.Ş.
TCELL.IS,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.
TMSN.IS,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.
TUPRS.IS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.
THYAO.IS,TÜRK HAVA YOLLARI A.O.
PRKAB.IS,TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.
TTKOM.IS,TÜRK TELEKOMÜNİKASYON A.Ş.
TTRAK.IS,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.
TBORG.IS,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.
TURGG.IS,TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.
GARAN.IS,TÜRKİYE GARANTİ BANKASI A.Ş.
HALKB.IS,TÜRKİYE HALK BANKASI A.Ş.
ISATR.IS,TÜRKİYE İŞ BANKASI A.Ş.
ISBTR.IS,TÜRKİYE İŞ BANKASI A.Ş.
ISCTR.IS,TÜRKİYE İŞ BANKASI A.Ş.
ISKUR.IS,TÜRKİYE İŞ BANKASI A.Ş.
KLNMA.IS,TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş.
TSKB.IS,TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.
TURSG.IS,TÜRKİYE SİGORTA A.Ş.
SISE.IS,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.
VAKBN.IS,TÜRKİYE VAKIFLAR BANKASI T.A.O.
UFUK.IS,UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.
ULAS.IS,ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.
ULUFA.IS,ULUSAL FAKTORİNG A.Ş.
ULUSE.IS,ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.
ULUUN.IS,ULUSOY UN SANAYİ VE TİCARET A.Ş.
UMPAS.IS,UMPAŞ HOLDİNG A.Ş.
USAK.IS,UŞAK SERAMİK SANAYİ A.Ş.
UZERB.IS,UZERTAŞ BOYA SANAYİ TİCARET VE YATIRIM A.Ş.
ULKER.IS,ÜLKER BİSKÜVİ SANAYİ A.Ş.
UNLU.IS,ÜNLÜ YATIRIM HOLDİNG A.Ş.
VAKFN.IS,VAKIF FİNANSAL KİRALAMA A.Ş.
VKGYO.IS,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
VKFYO.IS,VAKIF MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.
VAKKO.IS,VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.
VANGD.IS,VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.
VBTYZ.IS,VBT YAZILIM A.Ş.
VRGYO.IS,VERA KONSEPT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
VERUS.IS,VERUSA HOLDİNG A.Ş.
VERTU.IS,VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
VESBE.IS,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.
VESTL.IS,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
VKING.IS,VİKİNG KAĞIT VE SELÜLOZ A.Ş.
YKBNK.IS,YAPI VE KREDİ BANKASI A.Ş.
YAPRK.IS,YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.
YATAS.IS,YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.
YYLGD.IS,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.
YAYLA.IS,YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.
YGGYO.IS,YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
YEOTK.IS,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.
YGYO.IS,YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
YYAPI.IS,YEŞİL YAPI ENDÜSTRİSİ A.Ş.
YESIL.IS,YEŞİL YATIRIM HOLDİNG A.Ş.
YBTAS.IS,YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.
YONGA.IS,YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.
YKSLN.IS,YÜKSELEN ÇELİK A.Ş.
YUNSA.IS,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.
ZEDUR.IS,ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.
ZRGYO.IS,ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ZOREN.IS,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.
TRY=X,TRY per USD
XU100.IS,BİST100
XU030.IS,BİST30
GC=F,USD per Ounce of Gold
XSIST.IS,BIST
